RunNumber 	 Succeeded? 	 Generalized? 	 StepLimit 	 TotalError 	 NumFailedCases 	 FailedByStepLimit
10	true	true	807	0	0	0
10	true	true	808	0	0	0
10	true	true	809	0	0	0
10	true	true	810	0	0	0
10	true	true	811	0	0	0
10	true	true	812	0	0	0
10	true	true	813	0	0	0
10	true	true	814	0	0	0
10	true	true	815	0	0	0
10	true	true	816	0	0	0
10	true	true	817	0	0	0
10	true	true	818	0	0	0
10	true	true	819	0	0	0
10	true	true	820	0	0	0
10	true	true	821	0	0	0
10	true	true	822	0	0	0
10	true	true	823	0	0	0
10	true	true	824	0	0	0
10	true	true	825	0	0	0
10	true	true	826	0	0	0
10	true	true	827	0	0	0
10	true	true	828	0	0	0
10	true	true	829	0	0	0
10	true	true	830	0	0	0
10	true	true	831	0	0	0
10	true	true	832	0	0	0
10	true	true	833	0	0	0
10	true	true	834	0	0	0
10	true	true	835	0	0	0
10	true	true	836	0	0	0
10	true	true	837	0	0	0
10	true	true	838	0	0	0
10	true	true	839	0	0	0
10	true	true	840	0	0	0
10	true	true	841	0	0	0
10	true	true	842	0	0	0
10	true	true	843	0	0	0
10	true	true	844	0	0	0
10	true	true	845	0	0	0
10	true	true	846	0	0	0
10	true	true	847	0	0	0
10	true	true	848	0	0	0
10	true	true	849	0	0	0
10	true	true	850	0	0	0
10	true	true	851	0	0	0
10	true	true	852	0	0	0
10	true	true	853	0	0	0
10	true	true	854	0	0	0
10	true	true	855	0	0	0
10	true	true	856	0	0	0
10	true	true	857	0	0	0
10	true	true	858	0	0	0
10	true	true	859	0	0	0
10	true	true	860	0	0	0
10	true	true	861	0	0	0
10	true	true	862	0	0	0
10	true	true	863	0	0	0
10	true	true	864	0	0	0
10	true	true	865	0	0	0
10	true	true	866	0	0	0
10	true	true	867	0	0	0
10	true	true	868	0	0	0
10	true	true	869	0	0	0
10	true	true	870	0	0	0
10	true	true	871	0	0	0
10	true	true	872	0	0	0
10	true	true	873	0	0	0
10	true	true	874	0	0	0
10	true	true	875	0	0	0
10	true	true	876	0	0	0
10	true	true	877	0	0	0
10	true	true	878	0	0	0
10	true	true	879	0	0	0
10	true	true	880	0	0	0
10	true	true	881	0	0	0
10	true	true	882	0	0	0
10	true	true	883	0	0	0
10	true	true	884	0	0	0
10	true	true	885	0	0	0
10	true	true	886	0	0	0
10	true	true	887	0	0	0
10	true	true	888	0	0	0
10	true	true	889	0	0	0
10	true	true	890	0	0	0
10	true	true	891	0	0	0
10	true	true	892	0	0	0
10	true	true	893	0	0	0
10	true	true	894	0	0	0
10	true	true	895	0	0	0
10	true	true	896	0	0	0
10	true	true	897	0	0	0
10	true	true	898	0	0	0
10	true	true	899	0	0	0
10	true	true	900	0	0	0
11	true	true	700	0	0	0
11	true	true	701	0	0	0
11	true	true	702	0	0	0
11	true	true	703	0	0	0
11	true	true	704	0	0	0
11	true	true	705	0	0	0
11	true	true	706	0	0	0
11	true	true	707	0	0	0
11	true	true	708	0	0	0
11	true	true	709	0	0	0
11	true	true	710	0	0	0
11	true	true	711	0	0	0
11	true	true	712	0	0	0
11	true	true	713	0	0	0
11	true	true	714	0	0	0
11	true	true	715	0	0	0
11	true	true	716	0	0	0
11	true	true	717	0	0	0
11	true	true	718	0	0	0
11	true	true	719	0	0	0
11	true	true	720	0	0	0
11	true	true	721	0	0	0
11	true	true	722	0	0	0
11	true	true	723	0	0	0
11	true	true	724	0	0	0
11	true	true	725	0	0	0
11	true	true	726	0	0	0
11	true	true	727	0	0	0
11	true	true	728	0	0	0
11	true	true	729	0	0	0
11	true	true	730	0	0	0
11	true	true	731	0	0	0
11	true	true	732	0	0	0
11	true	true	733	0	0	0
11	true	true	734	0	0	0
11	true	true	735	0	0	0
11	true	true	736	0	0	0
11	true	true	737	0	0	0
11	true	true	738	0	0	0
11	true	true	739	0	0	0
11	true	true	740	0	0	0
11	true	true	741	0	0	0
11	true	true	742	0	0	0
11	true	true	743	0	0	0
11	true	true	744	0	0	0
11	true	true	745	0	0	0
11	true	true	746	0	0	0
11	true	true	747	0	0	0
11	true	true	748	0	0	0
11	true	true	749	0	0	0
11	true	true	750	0	0	0
11	true	true	751	0	0	0
11	true	true	752	0	0	0
11	true	true	753	0	0	0
11	true	true	754	0	0	0
11	true	true	755	0	0	0
11	true	true	756	0	0	0
11	true	true	757	0	0	0
11	true	true	758	0	0	0
11	true	true	759	0	0	0
11	true	true	760	0	0	0
11	true	true	761	0	0	0
11	true	true	762	0	0	0
11	true	true	763	0	0	0
11	true	true	764	0	0	0
11	true	true	765	0	0	0
11	true	true	766	0	0	0
11	true	true	767	0	0	0
11	true	true	768	0	0	0
11	true	true	769	0	0	0
11	true	true	770	0	0	0
11	true	true	771	0	0	0
11	true	true	772	0	0	0
11	true	true	773	0	0	0
11	true	true	774	0	0	0
11	true	true	775	0	0	0
11	true	true	776	0	0	0
11	true	true	777	0	0	0
11	true	true	778	0	0	0
11	true	true	779	0	0	0
11	true	true	780	0	0	0
11	true	true	781	0	0	0
11	true	true	782	0	0	0
11	true	true	783	0	0	0
11	true	true	784	0	0	0
11	true	true	785	0	0	0
11	true	true	786	0	0	0
11	true	true	787	0	0	0
11	true	true	788	0	0	0
11	true	true	789	0	0	0
11	true	true	790	0	0	0
11	true	true	791	0	0	0
11	true	true	792	0	0	0
11	true	true	793	0	0	0
11	true	true	794	0	0	0
11	true	true	795	0	0	0
11	true	true	796	0	0	0
11	true	true	797	0	0	0
11	true	true	798	0	0	0
11	true	true	799	0	0	0
11	true	true	800	0	0	0
11	true	true	801	0	0	0
11	true	true	802	0	0	0
11	true	true	803	0	0	0
11	true	true	804	0	0	0
11	true	true	805	0	0	0
11	true	true	806	0	0	0
11	true	true	807	0	0	0
11	true	true	808	0	0	0
11	true	true	809	0	0	0
11	true	true	810	0	0	0
11	true	true	811	0	0	0
11	true	true	812	0	0	0
11	true	true	813	0	0	0
11	true	true	814	0	0	0
11	true	true	815	0	0	0
11	true	true	816	0	0	0
11	true	true	817	0	0	0
11	true	true	818	0	0	0
11	true	true	819	0	0	0
11	true	true	820	0	0	0
11	true	true	821	0	0	0
11	true	true	822	0	0	0
11	true	true	823	0	0	0
11	true	true	824	0	0	0
11	true	true	825	0	0	0
11	true	true	826	0	0	0
11	true	true	827	0	0	0
11	true	true	828	0	0	0
11	true	true	829	0	0	0
11	true	true	830	0	0	0
11	true	true	831	0	0	0
11	true	true	832	0	0	0
11	true	true	833	0	0	0
11	true	true	834	0	0	0
11	true	true	835	0	0	0
11	true	true	836	0	0	0
11	true	true	837	0	0	0
11	true	true	838	0	0	0
11	true	true	839	0	0	0
11	true	true	840	0	0	0
11	true	true	841	0	0	0
11	true	true	842	0	0	0
11	true	true	843	0	0	0
11	true	true	844	0	0	0
11	true	true	845	0	0	0
11	true	true	846	0	0	0
11	true	true	847	0	0	0
11	true	true	848	0	0	0
11	true	true	849	0	0	0
11	true	true	850	0	0	0
11	true	true	851	0	0	0
11	true	true	852	0	0	0
11	true	true	853	0	0	0
11	true	true	854	0	0	0
11	true	true	855	0	0	0
11	true	true	856	0	0	0
11	true	true	857	0	0	0
11	true	true	858	0	0	0
11	true	true	859	0	0	0
11	true	true	860	0	0	0
11	true	true	861	0	0	0
11	true	true	862	0	0	0
11	true	true	863	0	0	0
11	true	true	864	0	0	0
11	true	true	865	0	0	0
11	true	true	866	0	0	0
11	true	true	867	0	0	0
11	true	true	868	0	0	0
11	true	true	869	0	0	0
11	true	true	870	0	0	0
11	true	true	871	0	0	0
11	true	true	872	0	0	0
11	true	true	873	0	0	0
11	true	true	874	0	0	0
11	true	true	875	0	0	0
11	true	true	876	0	0	0
11	true	true	877	0	0	0
11	true	true	878	0	0	0
11	true	true	879	0	0	0
11	true	true	880	0	0	0
11	true	true	881	0	0	0
11	true	true	882	0	0	0
11	true	true	883	0	0	0
11	true	true	884	0	0	0
11	true	true	885	0	0	0
11	true	true	886	0	0	0
11	true	true	887	0	0	0
11	true	true	888	0	0	0
11	true	true	889	0	0	0
11	true	true	890	0	0	0
11	true	true	891	0	0	0
11	true	true	892	0	0	0
11	true	true	893	0	0	0
11	true	true	894	0	0	0
11	true	true	895	0	0	0
11	true	true	896	0	0	0
11	true	true	897	0	0	0
11	true	true	898	0	0	0
11	true	true	899	0	0	0
11	true	true	900	0	0	0
12	true	true	700	0	0	0
12	true	true	701	0	0	0
12	true	true	702	0	0	0
12	true	true	703	0	0	0
12	true	true	704	0	0	0
12	true	true	705	0	0	0
12	true	true	706	0	0	0
12	true	true	707	0	0	0
12	true	true	708	0	0	0
12	true	true	709	0	0	0
12	true	true	710	0	0	0
12	true	true	711	0	0	0
12	true	true	712	0	0	0
12	true	true	713	0	0	0
12	true	true	714	0	0	0
12	true	true	715	0	0	0
12	true	true	716	0	0	0
12	true	true	717	0	0	0
12	true	true	718	0	0	0
12	true	true	719	0	0	0
12	true	true	720	0	0	0
12	true	true	721	0	0	0
12	true	true	722	0	0	0
12	true	true	723	0	0	0
12	true	true	724	0	0	0
12	true	true	725	0	0	0
12	true	true	726	0	0	0
12	true	true	727	0	0	0
12	true	true	728	0	0	0
12	true	true	729	0	0	0
12	true	true	730	0	0	0
12	true	true	731	0	0	0
12	true	true	732	0	0	0
12	true	true	733	0	0	0
12	true	true	734	0	0	0
12	true	true	735	0	0	0
12	true	true	736	0	0	0
12	true	true	737	0	0	0
12	true	true	738	0	0	0
12	true	true	739	0	0	0
12	true	true	740	0	0	0
12	true	true	741	0	0	0
12	true	true	742	0	0	0
12	true	true	743	0	0	0
12	true	true	744	0	0	0
12	true	true	745	0	0	0
12	true	true	746	0	0	0
12	true	true	747	0	0	0
12	true	true	748	0	0	0
12	true	true	749	0	0	0
12	true	true	750	0	0	0
12	true	true	751	0	0	0
12	true	true	752	0	0	0
12	true	true	753	0	0	0
12	true	true	754	0	0	0
12	true	true	755	0	0	0
12	true	true	756	0	0	0
12	true	true	757	0	0	0
12	true	true	758	0	0	0
12	true	true	759	0	0	0
12	true	true	760	0	0	0
12	true	true	761	0	0	0
12	true	true	762	0	0	0
12	true	true	763	0	0	0
12	true	true	764	0	0	0
12	true	true	765	0	0	0
12	true	true	766	0	0	0
12	true	true	767	0	0	0
12	true	true	768	0	0	0
12	true	true	769	0	0	0
12	true	true	770	0	0	0
12	true	true	771	0	0	0
12	true	true	772	0	0	0
12	true	true	773	0	0	0
12	true	true	774	0	0	0
12	true	true	775	0	0	0
12	true	true	776	0	0	0
12	true	true	777	0	0	0
12	true	true	778	0	0	0
12	true	true	779	0	0	0
12	true	true	780	0	0	0
12	true	true	781	0	0	0
12	true	true	782	0	0	0
12	true	true	783	0	0	0
12	true	true	784	0	0	0
12	true	true	785	0	0	0
12	true	true	786	0	0	0
12	true	true	787	0	0	0
12	true	true	788	0	0	0
12	true	true	789	0	0	0
12	true	true	790	0	0	0
12	true	true	791	0	0	0
12	true	true	792	0	0	0
12	true	true	793	0	0	0
12	true	true	794	0	0	0
12	true	true	795	0	0	0
12	true	true	796	0	0	0
12	true	true	797	0	0	0
12	true	true	798	0	0	0
12	true	true	799	0	0	0
12	true	true	800	0	0	0
12	true	true	801	0	0	0
12	true	true	802	0	0	0
12	true	true	803	0	0	0
12	true	true	804	0	0	0
12	true	true	805	0	0	0
12	true	true	806	0	0	0
12	true	true	807	0	0	0
12	true	true	808	0	0	0
12	true	true	809	0	0	0
12	true	true	810	0	0	0
12	true	true	811	0	0	0
12	true	true	812	0	0	0
12	true	true	813	0	0	0
12	true	true	814	0	0	0
12	true	true	815	0	0	0
12	true	true	816	0	0	0
12	true	true	817	0	0	0
12	true	true	818	0	0	0
12	true	true	819	0	0	0
12	true	true	820	0	0	0
12	true	true	821	0	0	0
12	true	true	822	0	0	0
12	true	true	823	0	0	0
12	true	true	824	0	0	0
12	true	true	825	0	0	0
12	true	true	826	0	0	0
12	true	true	827	0	0	0
12	true	true	828	0	0	0
12	true	true	829	0	0	0
12	true	true	830	0	0	0
12	true	true	831	0	0	0
12	true	true	832	0	0	0
12	true	true	833	0	0	0
12	true	true	834	0	0	0
12	true	true	835	0	0	0
12	true	true	836	0	0	0
12	true	true	837	0	0	0
12	true	true	838	0	0	0
12	true	true	839	0	0	0
12	true	true	840	0	0	0
12	true	true	841	0	0	0
12	true	true	842	0	0	0
12	true	true	843	0	0	0
12	true	true	844	0	0	0
12	true	true	845	0	0	0
12	true	true	846	0	0	0
12	true	true	847	0	0	0
12	true	true	848	0	0	0
12	true	true	849	0	0	0
12	true	true	850	0	0	0
12	true	true	851	0	0	0
12	true	true	852	0	0	0
12	true	true	853	0	0	0
12	true	true	854	0	0	0
12	true	true	855	0	0	0
12	true	true	856	0	0	0
12	true	true	857	0	0	0
12	true	true	858	0	0	0
12	true	true	859	0	0	0
12	true	true	860	0	0	0
12	true	true	861	0	0	0
12	true	true	862	0	0	0
12	true	true	863	0	0	0
12	true	true	864	0	0	0
12	true	true	865	0	0	0
12	true	true	866	0	0	0
12	true	true	867	0	0	0
12	true	true	868	0	0	0
12	true	true	869	0	0	0
12	true	true	870	0	0	0
12	true	true	871	0	0	0
12	true	true	872	0	0	0
12	true	true	873	0	0	0
12	true	true	874	0	0	0
12	true	true	875	0	0	0
12	true	true	876	0	0	0
12	true	true	877	0	0	0
12	true	true	878	0	0	0
12	true	true	879	0	0	0
12	true	true	880	0	0	0
12	true	true	881	0	0	0
12	true	true	882	0	0	0
12	true	true	883	0	0	0
12	true	true	884	0	0	0
12	true	true	885	0	0	0
12	true	true	886	0	0	0
12	true	true	887	0	0	0
12	true	true	888	0	0	0
12	true	true	889	0	0	0
12	true	true	890	0	0	0
12	true	true	891	0	0	0
12	true	true	892	0	0	0
12	true	true	893	0	0	0
12	true	true	894	0	0	0
12	true	true	895	0	0	0
12	true	true	896	0	0	0
12	true	true	897	0	0	0
12	true	true	898	0	0	0
12	true	true	899	0	0	0
12	true	true	900	0	0	0
13	true	true	700	0	0	0
13	true	true	701	0	0	0
13	true	true	702	0	0	0
13	true	true	703	0	0	0
13	true	true	704	0	0	0
13	true	true	705	0	0	0
13	true	true	706	0	0	0
13	true	true	707	0	0	0
13	true	true	708	0	0	0
13	true	true	709	0	0	0
13	true	true	710	0	0	0
13	true	true	711	0	0	0
13	true	true	712	0	0	0
13	true	true	713	0	0	0
13	true	true	714	0	0	0
13	true	true	715	0	0	0
13	true	true	716	0	0	0
13	true	true	717	0	0	0
13	true	true	718	0	0	0
13	true	true	719	0	0	0
13	true	true	720	0	0	0
13	true	true	721	0	0	0
13	true	true	722	0	0	0
13	true	true	723	0	0	0
13	true	true	724	0	0	0
13	true	true	725	0	0	0
13	true	true	726	0	0	0
13	true	true	727	0	0	0
13	true	true	728	0	0	0
13	true	true	729	0	0	0
13	true	true	730	0	0	0
13	true	true	731	0	0	0
13	true	true	732	0	0	0
13	true	true	733	0	0	0
13	true	true	734	0	0	0
13	true	true	735	0	0	0
13	true	true	736	0	0	0
13	true	true	737	0	0	0
13	true	true	738	0	0	0
13	true	true	739	0	0	0
13	true	true	740	0	0	0
13	true	true	741	0	0	0
13	true	true	742	0	0	0
13	true	true	743	0	0	0
13	true	true	744	0	0	0
13	true	true	745	0	0	0
13	true	true	746	0	0	0
13	true	true	747	0	0	0
13	true	true	748	0	0	0
13	true	true	749	0	0	0
13	true	true	750	0	0	0
13	true	true	751	0	0	0
13	true	true	752	0	0	0
13	true	true	753	0	0	0
13	true	true	754	0	0	0
13	true	true	755	0	0	0
13	true	true	756	0	0	0
13	true	true	757	0	0	0
13	true	true	758	0	0	0
13	true	true	759	0	0	0
13	true	true	760	0	0	0
13	true	true	761	0	0	0
13	true	true	762	0	0	0
13	true	true	763	0	0	0
13	true	true	764	0	0	0
13	true	true	765	0	0	0
13	true	true	766	0	0	0
13	true	true	767	0	0	0
13	true	true	768	0	0	0
13	true	true	769	0	0	0
13	true	true	770	0	0	0
13	true	true	771	0	0	0
13	true	true	772	0	0	0
13	true	true	773	0	0	0
13	true	true	774	0	0	0
13	true	true	775	0	0	0
13	true	true	776	0	0	0
13	true	true	777	0	0	0
13	true	true	778	0	0	0
13	true	true	779	0	0	0
13	true	true	780	0	0	0
13	true	true	781	0	0	0
13	true	true	782	0	0	0
13	true	true	783	0	0	0
13	true	true	784	0	0	0
13	true	true	785	0	0	0
13	true	true	786	0	0	0
13	true	true	787	0	0	0
13	true	true	788	0	0	0
13	true	true	789	0	0	0
13	true	true	790	0	0	0
13	true	true	791	0	0	0
13	true	true	792	0	0	0
13	true	true	793	0	0	0
13	true	true	794	0	0	0
13	true	true	795	0	0	0
13	true	true	796	0	0	0
13	true	true	797	0	0	0
13	true	true	798	0	0	0
13	true	true	799	0	0	0
13	true	true	800	0	0	0
13	true	true	801	0	0	0
13	true	true	802	0	0	0
13	true	true	803	0	0	0
13	true	true	804	0	0	0
13	true	true	805	0	0	0
13	true	true	806	0	0	0
13	true	true	807	0	0	0
13	true	true	808	0	0	0
13	true	true	809	0	0	0
13	true	true	810	0	0	0
13	true	true	811	0	0	0
13	true	true	812	0	0	0
13	true	true	813	0	0	0
13	true	true	814	0	0	0
13	true	true	815	0	0	0
13	true	true	816	0	0	0
13	true	true	817	0	0	0
13	true	true	818	0	0	0
13	true	true	819	0	0	0
13	true	true	820	0	0	0
13	true	true	821	0	0	0
13	true	true	822	0	0	0
13	true	true	823	0	0	0
13	true	true	824	0	0	0
13	true	true	825	0	0	0
13	true	true	826	0	0	0
13	true	true	827	0	0	0
13	true	true	828	0	0	0
13	true	true	829	0	0	0
13	true	true	830	0	0	0
13	true	true	831	0	0	0
13	true	true	832	0	0	0
13	true	true	833	0	0	0
13	true	true	834	0	0	0
13	true	true	835	0	0	0
13	true	true	836	0	0	0
13	true	true	837	0	0	0
13	true	true	838	0	0	0
13	true	true	839	0	0	0
13	true	true	840	0	0	0
13	true	true	841	0	0	0
13	true	true	842	0	0	0
13	true	true	843	0	0	0
13	true	true	844	0	0	0
13	true	true	845	0	0	0
13	true	true	846	0	0	0
13	true	true	847	0	0	0
13	true	true	848	0	0	0
13	true	true	849	0	0	0
13	true	true	850	0	0	0
13	true	true	851	0	0	0
13	true	true	852	0	0	0
13	true	true	853	0	0	0
13	true	true	854	0	0	0
13	true	true	855	0	0	0
13	true	true	856	0	0	0
13	true	true	857	0	0	0
13	true	true	858	0	0	0
13	true	true	859	0	0	0
13	true	true	860	0	0	0
13	true	true	861	0	0	0
13	true	true	862	0	0	0
13	true	true	863	0	0	0
13	true	true	864	0	0	0
13	true	true	865	0	0	0
13	true	true	866	0	0	0
13	true	true	867	0	0	0
13	true	true	868	0	0	0
13	true	true	869	0	0	0
13	true	true	870	0	0	0
13	true	true	871	0	0	0
13	true	true	872	0	0	0
13	true	true	873	0	0	0
13	true	true	874	0	0	0
13	true	true	875	0	0	0
13	true	true	876	0	0	0
13	true	true	877	0	0	0
13	true	true	878	0	0	0
13	true	true	879	0	0	0
13	true	true	880	0	0	0
13	true	true	881	0	0	0
13	true	true	882	0	0	0
13	true	true	883	0	0	0
13	true	true	884	0	0	0
13	true	true	885	0	0	0
13	true	true	886	0	0	0
